Price,Close,High,Low,Open,Volume
Ticker,MC.PA,MC.PA,MC.PA,MC.PA,MC.PA
Date,,,,,
2025-09-15,504.20001220703125,506.20001220703125,492.29998779296875,492.79998779296875,420577
2025-09-16,507.70001220703125,516.0999755859375,502.6000061035156,503.79998779296875,559413
2025-09-17,511.29998779296875,512.2999877929688,503.5,510.1000061035156,508171
2025-09-18,517.5999755859375,525.2999877929688,509.29998779296875,509.6000061035156,529829
2025-09-19,510.6000061035156,521.7999877929688,510.6000061035156,514.0,884978
2025-09-22,507.0,512.9000244140625,502.5,510.6000061035156,286999
2025-09-23,523.2000122070312,530.0999755859375,507.6000061035156,510.0,502090
2025-09-24,509.1000061035156,521.5999755859375,507.70001220703125,521.2999877929688,530170
2025-09-25,506.79998779296875,514.2000122070312,504.6000061035156,509.1000061035156,394947
2025-09-26,515.7000122070312,520.4000244140625,508.79998779296875,510.0,395227
2025-09-29,523.0999755859375,525.7999877929688,514.4000244140625,519.0999755859375,398489
2025-09-30,520.5,524.4000244140625,516.7000122070312,522.0,461947
2025-10-01,524.0,529.7999877929688,521.7000122070312,523.2999877929688,381637
2025-10-02,542.9000244140625,544.5999755859375,533.2999877929688,533.7999877929688,561065
2025-10-03,553.0999755859375,553.0999755859375,539.5999755859375,542.9000244140625,586960
2025-10-06,540.4000244140625,551.4000244140625,537.7000122070312,551.0,600595
2025-10-07,560.0,563.2000122070312,545.0,546.0,689135
2025-10-08,575.5,576.9000244140625,554.7999877929688,555.7000122070312,651388
2025-10-09,559.2000122070312,585.2999877929688,558.7999877929688,585.0,535910
2025-10-10,546.0,567.7000122070312,543.7999877929688,562.0,582762
2025-10-13,540.4000244140625,557.0999755859375,535.9000244140625,548.2000122070312,518104
2025-10-14,532.7999877929688,536.0,527.4000244140625,534.0,448092
