Price,Close,High,Low,Open,Volume
Ticker,SU.PA,SU.PA,SU.PA,SU.PA,SU.PA
Date,,,,,
2025-09-15,233.75,234.8000030517578,231.0,232.3000030517578,698026
2025-09-16,228.89999389648438,234.39999389648438,228.75,232.85000610351562,923944
2025-09-17,226.9499969482422,230.60000610351562,226.75,230.0,629440
2025-09-18,232.64999389648438,234.25,229.35000610351562,229.35000610351562,865341
2025-09-19,231.10000610351562,233.85000610351562,230.6999969482422,232.75,2140922
2025-09-22,230.0,230.4499969482422,227.0500030517578,230.10000610351562,935042
2025-09-23,230.5500030517578,235.10000610351562,230.5500030517578,234.60000610351562,891741
2025-09-24,232.39999389648438,233.4499969482422,230.35000610351562,232.4499969482422,911144
2025-09-25,231.0500030517578,232.8000030517578,227.8000030517578,232.25,720564
2025-09-26,235.25,239.64999389648438,231.60000610351562,231.60000610351562,1225890
2025-09-29,234.25,239.0,233.89999389648438,237.9499969482422,736657
2025-09-30,237.60000610351562,238.0,233.4499969482422,234.64999389648438,1013795
2025-10-01,244.85000610351562,245.75,236.5500030517578,239.0,1239746
2025-10-02,250.5,253.35000610351562,249.35000610351562,250.0,1215960
2025-10-03,249.6999969482422,252.8000030517578,247.64999389648438,252.5,882453
2025-10-06,250.0,254.64999389648438,246.1999969482422,248.25,1007419
2025-10-07,245.89999389648438,250.25,245.4499969482422,248.5,708863
2025-10-08,248.8000030517578,249.64999389648438,246.39999389648438,247.85000610351562,601629
2025-10-09,249.0,251.5,248.5500030517578,250.0,642085
2025-10-10,245.25,250.25,244.85000610351562,248.60000610351562,707372
2025-10-13,246.89999389648438,247.6999969482422,245.5500030517578,246.5,573034
2025-10-14,245.14999389648438,245.60000610351562,239.60000610351562,244.10000610351562,641665
